Strength Index,Common Name,Scientific Name,Janka Index,MOE Index,MOR Index,Crush Index
44.9,Amazon Rosewood,Dalbergia spruceana,57.8,38.1,42.5,41.3
44.9,Tamarind,Tamarindus indica,57.7,39.2,40.1,42.6
44.9,Zebrawood,Microberlinia brazzavillensis,39,49.9,44.9,45.8
44.8,Etimoe,Copaifera salikounda,35.1,41,52.9,50.3
44.7,Black Locust,Robinia pseudoacacia,36,42.3,49.4,51.2
44.7,Beli,Julbernardia pellegriniana,31.2,49,49.8,48.7
44.6,Timborana,Pseudopiptadenia suaveolens (= Piptadenia spp.),32.7,50,43.8,51.8
44.2,Yellow Gum,Eucalyptus leucoxylon,52.9,35.1,40.1,48.5
43.9,Nargusta,Terminalia amazonia,37.1,45.9,44.8,47.8
43.8,Afzelia xylay,Afzelia xylocarpa,42.2,39.7,43.3,49.9
43.6,Canarywood,Centrolobium spp.,32,45,48.5,48.7
43.5,Garapa,Apuleia leiocarpa,35,47.2,46.9,44.8
42.6,Jarrah,Eucalyptus marginata,39.5,44.2,38.9,47.9
42.6,Dogwood,Cornus florida,45.9,39.3,41.9,43.2
42.5,East Indian Rosewood,Dalbergia latifolia,52.2,33.4,41.5,42.7
42.3,Angelique,Dicorynia guianensis,27.1,51.1,44,47.1
42.2,Black wattle,Acacia mearnsii,36.1,43.9,44.5,44.4
42.2,Tropical black sage,Cordia curassavica,47,31.3,44.4,46.1
42,Guajayvi,Patagonula americana,35.1,39.4,53.7,40
42,Cherrybark Oak,Quercus pagoda,31.2,47.7,45.7,43.1
41.8,Red Bloodwood,Corymbia gummifera,52.4,37.9,35.3,41.7
41.7,River Red Gum,Eucalyptus camaldulensis,46,34.4,45.3,41.1
41.7,Monkeythorn,Senegalia galpinii,43.5,38.9,40.6,43.7
41.6,Ramin,Gonystylus spp.,25.4,47.1,46,47.8
41.2,Beefwood,Grevillea striata,51.8,41.9,33.3,38.1
41.1,Rhodesian Teak,Baikiaea plurijuga,64.2,23.1,29.3,47.9
40.8,Keruing,Dipterocarpus spp.,29.2,48,41.9,44
40.8,Indian Laurel,Terminalia elliptica,49.9,36.6,36.3,40.3
40.7,Tambootie,Spirostachys africana,53,28.9,36.8,44.1
40.6,Bocote,Cordia elaeagnoides,42.9,35.7,41.5,42.4
40.6,Canadian Serviceberry,Amelanchier canadensis,38.2,38.3,42.4,43.3
40.5,Shellbark Hickory,Carya laciniosa,38.4,38.6,45.7,39
40.4,Water Hickory,Carya aquatica,32.8,41.6,44.9,42.4
40.4,Opepe,Nauclea diderrichii,32.7,39.3,42.3,47.2
40.4,Field maple,Acer campestre,24,34.4,45,58.2
40.3,Lati,Amphimas pterocarpoides,25.1,44.6,46.7,44.9
40.3,Pau Ferro,Machaerium spp.,41.7,31.2,44.8,43.7
40.2,Peroba Rosa,Aspidosperma polyneuron,35.5,41.2,38.9,45.3
40.2,Swamp White Oak,Quercus bicolor,33.9,41.8,43.8,41.2
40.2,Chanfuta,Afzelia quanzensis,39.3,34.2,39.3,47.7
40.1,Sweet Birch,Betula lenta,31,45.1,42.4,42
40.1,Ziricote,Cordia dodecandra,42,31.4,41,46.1
39.6,Messmate,Eucalyptus obliqua*,32.1,42.8,40.7,43
39.5,African Padauk,Pterocarpus soyauxii,41.9,34.1,42.2,39.7
39.5,Lyptus,Eucalyptus urograndis,30,42.3,43,42.6
39.2,Afata,Cordia trichotoma,23.5,39.7,46.6,46.9
38.9,Bitternut Hickory,Carya cordiformis,31.7,36.2,43,44.8
38.7,Tanoak,Notholithocarpus densiflorus,29.8,42.8,41.7,40.4
38.6,Swamp Mahogany,Eucalyptus robusta,26.1,42.3,44,42
38.5,Movingui,Distemonanthus benthamianus,26.8,35.8,47.5,44
38.5,Burmese Blackwood,Dalbergia cultrata,72.1,31.8,27.2,23
38.5,Queensland Walnut,Endiandra palmerstonii,35.1,33.1,35.9,49.8
38.5,European Beech,Fagus sylvatica,30.6,42.9,39.8,40.5
38.2,Red Palm,Cocos nucifera,40.3,33.1,31.4,47.9
38.1,Afrormosia,Pericopsis elata,33.2,34.5,36.9,47.8
37.9,Hard milkwood,Alstonia spectabilis,30.8,40.2,29.6,50.9
37.5,Andaman Padauk,Pterocarpus dalbergioides,34.5,35.4,36.5,43.6
37.5,Rowan,Sorbus aucuparia,35.8,29.2,43.5,41.3
37.3,Yellow Birch,Betula alleghaniensis,26.4,41.4,41.6,40
37.3,Parica,Schizolobium amazonicum,26.4,41.4,41.6,40
37.3,Amendoim,Pterogyne nitens,37.9,35.8,39.3,36.3
37.1,Rengas,Gluta spp. Melanorrhoea spp.,36.5,39.2,31.8,41.2
37,Sapele,Entandrophragma cylindricum,29.7,35.2,39.7,43.2
36.7,Rose Gum,Eucalyptus grandis,26.4,42.4,38.9,39.1
36.7,Pear Hawthorn,Crataegus calpodendron,35.5,26.4,43.4,41.4
36.5,Eastern Hophornbeam,Ostrya virginiana,39.5,34.1,34.6,37.7
36.4,Scarlet Oak,Quercus coccinea,29.5,35.7,40.1,40.4
36.3,Hard maple,Acer saccharum,30.6,37.2,39.3,38.1
36.3,Pecan,Carya illinoinensis,38.7,34.8,33.5,38.2
36.3,European Hornbeam,Carpinus betulus,34.5,35.4,39.9,35.3
36.2,Andiroba,Carapa spp.,25.6,40.3,38.7,40.3
36,Australian blackwood,Acacia melanoxylon,24.3,44.6,37.2,37.8
35.9,Pheasantwood,Senna siamea,31.5,31.4,30,50.9
35.9,Mountain Ash,Eucalyptus regnans,25.4,41.9,34.3,42
35.8,American Hornbeam,Carpinus caroliniana,37.8,34,40.7,30.7
35.7,Black siris,Albizia odoratissima,34.6,34.3,34.2,39.8
35.2,Water Oak,Quercus nigra,24.9,41.9,41.6,32.2
35,European Ash,Fraxinus excelsior,31.2,36.1,37.1,35.7
35,Lebbeck,Albizia lebbeck,28,37.3,33.5,41.2
34.7,Sissoo,Dalbergia sissoo,35.1,29.6,34.7,39.3
34.6,Honey Locust,Gleditsia triacanthos,33.4,32.5,36.3,36.3
34.5,Ebiara,Berlinia spp.,26.9,32.2,39.6,39.3
34.4,Willow Oak,Quercus phellos,30.8,36.6,36.7,33.7
34.4,Mansonia,Mansonia altissima,27.1,31.1,41.6,37.9
34.4,Turkey Oak,Quercus cerris,25.1,31.1,41.5,40
34.3,Makore,Tieghemella heckelii,25.2,30.7,40.8,40.7
34.3,Pacific Yew,Taxus brevifolia,33.9,26,37.7,39.6
34.2,Slash Pine,Pinus elliottii,15.5,40.7,40.7,39.8
34.1,Utile,Entandrophragma utile,24.7,33.9,37.3,40.6
34,White Oak,Quercus alba,28.3,35.6,36.6,35.5
34,Longleaf Pine,Pinus palustris,17.9,40.7,35.7,41.7
34,Narra,Pterocarpus indicus,26.5,34.7,34.2,40.5
33.9,Nutmeg Hickory,Carya myristiciformis,27.1,34.1,41.6,33
33.9,White Ash,Fraxinus americana,27.7,35.1,37.1,35.8
33.8,Norway maple,Acer platanoides,21.1,30.3,41.8,42.1
33.7,Pyinma,Lagerstroemia spp.,22.7,31,34.6,46.2
33.6,Nyatoh,Palaquium spp.,22.3,39.7,34.1,38.5
33.6,Winged Elm,Ulmus alata,32.5,33,36.5,32.3
33.5,Tasmanian Myrtle,Lophozonia cunninghamii,27.6,37.2,35,34.4
33.5,American Beech,Fagus grandifolia,27.3,34.6,36.8,35.2
33.4,Mangium,Acacia mangium,30,31.9,35,36.5
33.2,Sumatran Pine,Pinus merkusii,19.7,44.9,34.3,34.1
33.1,Ocote Pine,Pinus oocarpa,19.7,46,36.3,30.2
33,Pin Oak,Quercus palustris,31.6,34.4,33.9,32.1
33,English Walnut,Juglans regia,25.5,31.1,40.3,35.1
32.9,Teak,Tectona grandis,22.2,36,34.5,38.7
32.7,Avodire,Turraeanthus africanus,24.4,32.1,38.2,36.2
32.6,Indian Silver Greywood,Terminalia bialata,28.6,39.2,31.1,31.4
32.6,Laurel Oak,Quercus laurifolia,25.3,36.3,35.2,33.4
32.5,Black Mesquite,Prosopis nigra,41.3,20.5,26.5,41.8
32.4,Koto,Pterygota macrocarpa,19.5,35.4,37.9,36.8
32.3,Swamp Chestnut Oak,Quercus michauxii,25.7,35.4,33.6,34.6
32.3,Caribbean Pine,Pinus caribaea,23.1,35.2,32.5,38.4
32.3,Western sheoak,Allocasuarina fraseriana,40.4,26.1,34.9,27.7
32.2,Red Oak,Quercus rubra,25.6,35.6,35.4,32.3
32.1,Rock Elm,Ulmus thomasii,27.7,30.4,36.5,33.8
32,Hububali,Loxopterygium sagotii,21.3,37.2,36,33.4
31.8,Black Walnut,Juglans nigra,21,33.7,36,36.7
31.7,Green Ash,Fraxinus pennsylvanica,25.1,33.2,34.6,34
31.7,Muninga,Pterocarpus angolensis,28.6,24,35,39.2
31.6,Nigerian pearwood,Guarea cedrata,19.5,31.4,37,38.5
31.6,Bosse,Guarea cedrata,19.5,31.4,37,38.5
31.6,Black Oak,Quercus velutina,25.3,35,35.5,30.5
31.5,Sweet Cherry,Prunus avium,24,30.1,37,34.9
31.5,Blackheart Sassafras,Atherosperma moschatum,22.8,37.1,35.9,30.2
31.3,Pacific maple,Aglaia cucullata,21,35.4,32.1,36.7
31.3,Alaska Paper Birch,Betula neoalaskana,17,38.8,33.2,36
31.2,White Seraya,"Parashorea spp. (lucida, stellata)",18.3,37.4,31.9,37.2
30.9,Sycamore maple,Acer pseudoplatanus,21.9,28,34.9,38.9
30.9,Paldao,Dracontomelon dao,21.7,35.4,33.1,33.4
30.9,Western Larch,Larix occidentalis,17,38.1,31.5,36.9
30.7,Red Mulberry,Morus rubra,35.6,26,27.8,33.5
30.4,Chakte Kok,Simira salvadorensis,25.3,29.4,35.2,31.8
30.4,Mango,Mangifera indica,22.4,33.5,31,34.8
30.4,Iroko,Milicia excelsa,26.4,26.2,30.7,38.1
30.3,Blue Ash,Fraxinus quadrangulata,27.1,27.1,33.7,33.4
30.3,Black maple,Acer nigrum,24.7,32.3,32.4,31.7
30.1,Sessile Oak,Quercus petraea,23.4,29.9,34.5,32.7
30.1,English Oak,Quercus robur,23.4,30.5,34.5,31.9
30.1,Post Oak,Quercus stellata,28.3,29.3,31.7,30.9
30,Chestnut Oak,Quercus prinus,23.6,31.6,32.4,32.6
30,Tree of Heaven,Ailanthus altissima,29.9,32.3,26.1,31.7
30,Crab apple,Malus sylvestris,36.7,24.1,31,28.1
29.9,Wych Elm,Ulmus glabra,20.5,32.2,35,31.9
29.9,Chinaberry,Melia azedarach,20.5,24.8,34.6,39.6
29.8,Doi,Alphitonia zizyphoides,24,33,27.5,34.8
29.7,Parana Pine,Araucaria angustifolia,16.6,32.9,32.6,36.7
29.7,African Mahogany,Khaya senegalensis,22.3,30.3,32,34.1
29.7,Salmwood,Cordia alliodora,18.4,38.2,30.3,31.7
29.5,Koa,Acacia koa,24.4,29.5,30.5,33.8
29.5,White Cypress Pine,Callitris columellaris,28.7,26,27.5,36.1
29.4,Cedar Elm,Ulmus crassifolia,27.7,29,32.9,28.1
29.4,European Larch,Larix decidua,15.1,34.4,31.7,36.5
29.1,Dark Red Meranti,Shorea spp.,16.5,35.1,30.7,33.9
29,Shortleaf Pine,Pinus echinata,14,35.3,31.8,35
29,Red maple,Acer rubrum,19.7,32.7,32.6,31
28.9,West African albizia,Albizia ferruginea,21.2,31.4,28.7,34.4
28.9,Loblolly Pine,Pinus taeda,14,36.2,31,34.2
28.8,Khasi Pine,Pinus kesiya,13.6,35.9,30.4,35.4
28.8,Pear,Pyrus communis,35.1,20.8,28.9,30.2
28.7,New Guinea Walnut,Dracontomelon mangiferum,18.7,33.5,30.4,32
28.6,White Meranti,Shorea hypochra,21.8,29.1,30.9,32.7
28.6,Pond Pine,Pinus serotina,15.1,35.3,27.6,36.5
28.6,Tineo,Weinmannia trichosperma,21.4,31.1,31.7,30.2
28.5,Anigre,Pouteria altissima,20.4,31.5,28.8,33.1
28.4,Algarrobo Blanco,Prosopis alba,36,15,20.8,41.9
28.4,Oregon White Oak,Quercus garryana,34.8,19.9,23.7,35.3
28.2,Coffeetree,Gymnocladus dioicus,29.3,27.6,24.5,31.3
28.1,Black Cherry,Prunus serotina,19.7,29.2,29.6,34.1
28,Overcup Oak,Quercus lyrata,24.9,27.6,30.4,29.1
27.9,Hoop Pine,Araucaria cunninghamii,15.2,34.3,29.6,32.4
27.9,Douglas-Fir,Pseudotsuga menziesii,12.5,35.7,30.1,33.2
27.8,Madrone,Arbutus menziesii,30.8,23.1,24.3,32.8
27.6,Cucumbertree,Magnolia acuminata,14.2,36.9,29.6,29.7
27.5,Sweetgum,Liquidambar styraciflua,17.5,32.7,30.1,29.7
27.3,Oregon Ash,Fraxinus latifolia,24.3,26.2,30.7,28.2
27.3,African Juniper,Juniperus procera,18.4,28.6,27.8,34.4
27.2,Imbuya,Ocotea porosa,20,27,29.5,32.3
27.2,Common Lime,Tilia x europaea,14.1,34.1,29.8,30.7
27.1,Virginia Pine,Pinus virginiana,15.1,29.9,31.5,31.9
27.1,Red Elm,Ulmus rubra,17.7,29.2,31.5,30
27.1,New Zealand kauri,Agathis australis,14.8,34.6,30.3,28.7
27.1,Southern Red Oak,Quercus falcata,22.1,29,28.8,28.5
27.1,Queensland Maple,Flindersia brayleyana,16.7,31.1,28,32.5
27,Camphor,Cinnamomum camphora,19.6,33.6,27.8,27
26.9,Black Ash,Fraxinus nigra,17.5,31.8,30.4,27.8
26.8,Honduran Mahogany,Swietenia macrophylla,18.6,28.5,27.9,32.2
26.6,Tamarack,Larix larcina,11.8,32.7,27.6,34.4
26.6,Sourwood,Oxydendrum arboreum,19.4,30.4,27.6,29
26.6,African Walnut,Lovoa trichilioides,19.4,25.7,29.4,31.8
26.5,Paper Birch,Betula papyrifera,18.8,31.6,29.6,26.3
26.5,Norfolk Island Pine,Araucaria heterophylla,13.1,34.7,28,30.3
26.2,Monkey Puzzle,Araucaria araucana,7.7,33.6,34.2,29.4
26.2,Limba,Terminalia superba,13.6,29.9,30.1,31.2
26.2,Western Hemlock,Tsuga heterophylla,10.7,32.5,26.8,34.6
26,Table Mountain Pine,Pinus pungens,13.3,30.6,27.6,32.6
26,Idigbo,Terminalia ivorensis,17.4,26.1,28.7,31.7
25.9,European alder,Alnus glutinosa,13.1,31.7,32.2,26.7
25.9,Deglupta,Eucalyptus deglupta,13,31,27.5,32.3
25.8,Yellow Meranti,Shorea spp.,14.2,30.6,27.9,30.5
25.7,Sand Pine,Pinus clausa,14.9,27.4,27.6,33.1
25.7,Port Orford Cedar,Chamaecyparis lawsoniana,11.8,32.9,29.5,28.4
25.6,Cedar of Lebanon,Cedrus libani,16.9,28.6,28.4,28.5
25.5,Cerejeira,Amburana cearensis,16.2,31.3,24.7,29.7
25.4,Cape Holly,Ilex mitis,22.8,25.1,25.7,28.1
25.3,Tornillo,Cedrelinga catenaeformis,19.7,31.2,22.8,27.7
25.3,Sweetbay,Magnolia virginiana,16.6,32.7,25.7,26.2
25.2,Abura,Mitragyna ciliata (=Fleroya),16.9,26.8,28.1,29.2
25.2,Huon Pine,Lagarostrobos franklinii,19.1,25.7,26.1,29.8
25.1,Bur Oak,Quercus macrocarpa,28.5,18.7,25.7,27.4
25,Cuban Mahogany,Swietenia mahogani,19.2,26,25.3,29.5
24.9,Southern Magnolia,Magnolia grandiflora,21.2,27.1,26.5,25
24.8,Light Red Meranti,Shorea contorta,11,33,26.5,28.7
24.6,Bigleaf maple,Acer macrophyllum,17.5,28.3,25.1,27.7
24.6,Radiata Pine,Pinus radiata,14.4,28.5,27.3,28.1
24.5,Siberian Elm,Ulmus pumila,20.4,21.4,26.6,29.8
24.5,Peruvian Walnut,Juglans neotropica,19.8,20.9,26.4,31
24.5,Myrtle,Umbellularia californica,26.7,23,22.3,26
24.5,Red Pine,Pinus resinosa,11.2,32.5,25.9,28.4
24.5,Rubberwood,Hevea brasiliensis,19.9,25.1,24.3,28.6
24.3,Pumpkin Ash,Fraxinus profunda,20.5,24.1,26.2,26.3
24.3,Mountain Hemlock,Tsuga mertensiana,13.8,25.5,27.3,30.4
24.2,London plane,Platanus x acerifolia,19.4,24.6,25.5,27.5
24.2,Yellow silverballi,Aniba hypoglauca,22.3,25.2,22.4,26.9
24.1,Scots Pine,Pinus sylvestris,10.8,28.5,28.9,28.1
24.1,American Elm,Ulmus americana,17,25.7,28.2,25.3
24,Grey alder,Alnus incana,15.7,30.4,28,21.9
23.8,Yellow Cedar,Cupressus nootkatensis,11.6,27.6,26.2,29.7
23.5,Pacific silver fir,Abies amabilis,8.3,33.7,23.8,28.3
23.4,Yucatan Rosewood,Dalbergia tucurensis,25.4,20.7,23.6,23.8
23.3,Pitch Pine,Pinus rigida,12.5,27.8,25.4,27.6
23.2,Cypress,Taxodium distichum,10.1,28.1,24.8,30
23,Noble fir,Abies procera,7.9,32.2,25.3,26.5
22.9,Japanese Larch,Larix kaempferi,12,24.1,27.6,28
22.9,Spruce Pine,Pinus glabra,14.2,27.2,24,26.1
22.8,Sweet Chestnut,Castanea sativa,13.7,23.6,24.1,29.9
22.8,Austrian Pine,Pinus nigra,13.3,31.1,21.3,25.6
22.8,Water Tupelo,Nyssa aquatica,17.9,23.6,22.2,27.5
22.8,Hackberry,Celtis occidentalis,18.1,22.2,25.9,24.9
22.8,Sycamore,Platanus occidentalis,15.7,27.6,23.1,24.5
22.7,Holly,Ilex opaca,21.2,20.3,24,25.4
22.7,Yellow poplar,Liriodendron tulipifera,10.7,31.3,23.4,25.4
22.7,Sitka Spruce,Picea sitchensis,10.1,31.8,23.6,25.5
22.7,Alder-leaf Birch,Betula alnoides,17,23.3,20.3,30.2
22.5,Patula Pine,Pinus patula,10.9,28.6,27.3,23.3
22.5,Fijian kauri,Agathis macrophylla,17.3,27.6,19.5,25.7
22.5,Northern Silky Oak,Cardwellia sublimis,17.3,24.6,21.8,26.2
22.4,East Indian Kauri,Agathis dammara,12.2,25.9,22.4,29.3
22.1,Monkeypod,Samanea saman,18.6,21.2,21.8,26.8
22.1,Spanish Cedar,Cedrela odorata,12,25.3,23.9,27.2
22.1,Black Spruce,Picea mariana,10.3,30,23.4,24.7
22,Red alder,Alnus rubra,11.8,26.7,22.6,27
22,Australian Red Cedar,Toona ciliata,14.3,25.6,24.2,23.8
21.9,California red fir,Abies magnifica,9.8,29.1,24.2,24.7
21.9,Monterey Cypress,Cupressus macrocarpa,12.4,20.9,28.1,26.4
21.9,Southern Silky Oak,Grevillea robusta,18.2,21.3,25.3,22.8
21.8,White fir,Abies concolor,9.4,29.1,22.3,26.5
21.8,Staghorn Sumac,Rhus typhina,13.8,22.2,23.7,27.6
21.6,Southern Redcedar,Juniperus silicicola,12.2,21.7,21.5,31.1
21.6,Cascara Buckthorn,Rhamnus purshiana,21.6,16.8,19.5,28.4
21.6,Primavera,Roseodendron donnell-smithii,14.5,20.9,23.8,27.1
21.6,Jack Pine,Pinus banksiana,11.4,26,22.9,26.1
21.5,Mexican Cypress,Cupressus lusitanica,9.9,23.9,26.2,26
21.5,Pinyon Pine,Pinus edulis,17.7,21,17,30.2
21.3,Black Tupelo,Nyssa sylvatica,16.4,22.2,21.8,25
21.3,California Black Oak,Quercus kelloggii,22.7,17.3,19.3,26
21.2,Sassafras,Sassafras albidum,12.7,20.6,20.4,31.3
21,Red Spruce,Picea rubens,9.6,30.9,22,21.7
20.7,Grand fir,Abies grandis,9.6,30.2,19.6,23.6
20.7,Horse chestnut,Aesculus hippocastanum,16.7,18.6,22.5,25
20.4,Maritime Pine,Pinus pinaster,7.4,23.3,24.8,26.1
20.4,Western White Pine,Pinus monticola,8.1,28.5,22.3,22.7
20.4,Eastern Red Cedar,Juniperus virginiana,18.6,15,19.8,28.1
20.3,Gray Birch,Betula populifolia,15.5,21.3,22.6,21.7
20.3,Lodgepole Pine,Pinus contorta,9.4,25.7,21.5,24.5
20.3,Giant Chinkapin,Chrysolepis chrysophylla,14.9,23.4,25.1,17.7
20.2,Dutch Elm,Ulmus x hollandica,17.6,19.9,23,20.4
20.2,Bigtooth Aspen,Populus grandidentata,8.1,27.8,20.6,24.1
20,Okoume / Gaboon,Aucoumea klaineana,7.7,23.1,25.6,23.8
19.9,Jeffrey Pine,Pinus jeffreyi,9.8,23.4,21.2,25.4
19.9,Leyland Cypress,Cupressus x leylandii,8.2,17.5,28.7,25.3
19.8,Ponderosa Pine,Pinus ponderosa,9,24.6,21.5,24.2
19.7,Silver maple,Acer saccharinum,14.2,21,20.1,23.6
19.6,Queensland kauri,Agathis robusta,11.2,20.8,21.1,25.3
19.6,Norway Spruce,Picea abies,7.2,27.3,20.7,23.3
19.5,Redwood,Sequoia sempervirens,8.8,22.9,20.2,26.2
19.5,European silver fir,Abies alba,5.9,22.4,22,27.7
